*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Automat PCB v3 - Industrial improved
*Date=19:16:41
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;33;THT;44.0467;-38.4555;90;Bottom;R3
2;;;64.3099;-45.1961;-90;Bottom;TXT26
3;;;61.7471;-45.0676;-90;Bottom;TXT26
4;;;17.8905;-5.48267;0;Bottom;TXT26
5;;THT;11.1537;-5.68952;90;Bottom;J7 7-36V
6;;;74.5735;-56.6856;-90;Bottom;TXT26
7;;300 mil [THT];13.5667;-18.1609;90;Bottom;D1
8;;;11.7323;-43.4886;0;Bottom;TXT26
9;;THT;51.5397;-51.6635;-90;Bottom;J2
10;;THT;31.3467;-20.6755;-90;Bottom;J25
11;;;40.0888;-10.3038;0;Bottom;TXT26
12;;;1.30666;-43.3943;90;Bottom;TXT26
13;;;64.3198;-56.8137;-90;Bottom;TXT26
14;;;96.1166;-57.5055;0;Bottom;Hole1
15;;;97.3868;-2.89538;0;Bottom;Via5
16;;;26.6902;-28.9071;0;Bottom;TXT26
17;;;72.2218;-57.9759;-90;Bottom;TXT26
18;;THT;47.9837;-6.19752;90;Bottom;J1
19;;;50.8063;-1.56617;0;Bottom;TXT26
20;;;36.4639;-13.3343;-90;Bottom;TXT26
21;22µF;100 mil [THT, electrolytic];5.9467;-51.1555;-90;Bottom;C3
22;;;27.879;-18.1013;0;Bottom;TXT26
23;;THT;36.5537;-6.19752;90;Bottom;air
24;1.25 – 36 V;to220-adj;31.3467;-43.853;0;Bottom;5v - 3.3v
25;;;26.2536;-13.1379;-90;Bottom;TXT26
26;;THT;26.3937;-6.19752;90;Bottom;water
27;;;77.0796;-56.0705;-90;Bottom;TXT26
28;;;29.6533;-10.4686;0;Bottom;TXT26
29;3.3k;THT;40.2367;-25.7555;90;Bottom;R4
30;;;3.40661;-2.89562;0;Bottom;Hole4
31;;;47.6685;-1.53146;0;Bottom;TXT26
32;;;3.40661;-57.5055;0;Bottom;Hole3
33;;;97.3866;-2.89562;0;Bottom;Hole2
34;1mF;300 mil [THT, electrolytic];17.3767;-32.1055;0;Bottom;C1
35;;;70.6228;-53.9474;0;Bottom;TXT26
36;;;69.3998;-57.9759;-90;Bottom;TXT26
37;;;67.0478;-45.1818;-90;Bottom;TXT26
38;;THT;67.0337;-6.19752;90;Bottom;J5
39;;;52.0682;-56.8;0;Bottom;TXT26
40;;;88.692;-1.67266;0;Bottom;TXT26
41;2.2;THT;5.9467;-21.9455;-90;Bottom;R1
42;;ptc;5.9467;-35.9155;90;Bottom;F1
43;;;43.7941;-1.62544;0;Bottom;TXT26
44;;;66.9535;-57.4614;-90;Bottom;TXT26
45;;;23.1152;-10.1862;0;Bottom;TXT26
46;;;5.94675;-43.5355;90;Bottom;TSR-1-2450
47;;;34.4983;-47.3455;0;Bottom;TXT26
48;;;28.0072;-47.3455;0;Bottom;TXT26
49;;THT;88.6237;-6.19752;90;Bottom;J3
50;;;31.3821;-38.1327;-90;Bottom;TXT26
51;;;22.4566;-43.5355;0;Top;Gnd
52;;;45.3457;-13.1621;-90;Bottom;TXT26
53;;;18.7951;-57.1292;0;Bottom;TXT26
54;;THT;75.6697;-50.3935;-90;Bottom;J4
55;;;89.6081;-55.7197;-90;Bottom;TXT26
56;;;61.5916;-56.0279;-90;Bottom;TXT26
57;;;26.4708;-57.1292;0;Bottom;TXT26
58;;;84.6836;-45.1961;-90;Bottom;TXT26
59;;;31.3467;4.72448;0;Bottom;WaterTempSensor1
60;;THT;22.3297;-52.9335;-90;Bottom;J6
61;10;THT;40.2367;-48.6155;90;Bottom;R2
62;;;74.7362;-23.2051;-90;Bottom;ESP32
63;;;76.8671;-45.1961;-90;Bottom;TXT26
64;;;89.8093;-45.068;-90;Bottom;TXT26
65;;;31.5384;-26.1041;-90;Bottom;TXT26
66;;;84.5456;-56.6516;-90;Bottom;TXT26
67;;;3.83016;-5.76489;0;Bottom;TXT26
68;;;74.2913;-45.2426;-90;Bottom;TXT26
69;;;51.6666;-44.8055;0;Top;3.3v
70;100;THT;93.5767;-43.5355;90;Bottom;R5
71;;;11.0266;-57.5055;0;Top;5v
72;;;33.8998;-17.9213;0;Bottom;TXT26
73;;;33.8064;-10.2333;0;Bottom;TXT26
